pair_family,pair_id,source_task,target_task,num_experts,top_k,fixed_k,mean_acc,std_acc,mean_delta_vs_dynamic,num_runs
p02,p02_aquatic_mammals_to_fish,aquatic_mammals,fish,16,6,4,0.6299999938011169,,0.6299999938011169,1
p02,p02_aquatic_mammals_to_fish,aquatic_mammals,fish,16,6,6,0.6419999938011169,,0.6419999938011169,1
p02,p02_aquatic_mammals_to_fish,aquatic_mammals,fish,16,8,0,0.6299999942779541,,0.6299999942779541,1
p02,p02_aquatic_mammals_to_fish,aquatic_mammals,fish,16,8,1,0.6299999938011169,,0.6299999938011169,1
p02,p02_aquatic_mammals_to_fish,aquatic_mammals,fish,16,8,2,0.6200000033378601,,0.6200000033378601,1
p02,p02_aquatic_mammals_to_fish,aquatic_mammals,fish,16,8,4,0.6299999942779541,,0.6299999942779541,1
p02,p02_aquatic_mammals_to_fish,aquatic_mammals,fish,16,8,6,0.634000002861023,,0.634000002861023,1
p02,p02_aquatic_mammals_to_fish,aquatic_mammals,fish,16,8,8,0.6440000033378601,,0.6440000033378601,1
p02,p02_aquatic_mammals_to_fish,aquatic_mammals,fish,32,4,0,0.6160000033378601,,0.6160000033378601,1
p02,p02_aquatic_mammals_to_fish,aquatic_mammals,fish,32,4,1,0.6360000004768371,,0.6360000004768371,1
p02,p02_aquatic_mammals_to_fish,aquatic_mammals,fish,32,4,2,0.6120000052452087,,0.6120000052452087,1
p02,p02_aquatic_mammals_to_fish,aquatic_mammals,fish,32,4,3,0.6319999938011169,,0.6319999938011169,1
p02,p02_aquatic_mammals_to_fish,aquatic_mammals,fish,32,4,4,0.6620000004768372,,0.6620000004768372,1
p02,p02_aquatic_mammals_to_fish,aquatic_mammals,fish,32,6,0,0.6159999985694885,,0.6159999985694885,1
p02,p02_aquatic_mammals_to_fish,aquatic_mammals,fish,32,6,1,0.6079999961853028,,0.6079999961853028,1
p02,p02_aquatic_mammals_to_fish,aquatic_mammals,fish,32,6,2,0.5940000057220459,,0.5940000057220459,1
p02,p02_aquatic_mammals_to_fish,aquatic_mammals,fish,32,6,4,0.6080000033378601,,0.6080000033378601,1
p02,p02_aquatic_mammals_to_fish,aquatic_mammals,fish,32,6,6,0.5979999942779541,,0.5979999942779541,1
p02,p02_aquatic_mammals_to_fish,aquatic_mammals,fish,32,8,0,0.6079999985694885,,0.6079999985694885,1
