direction,epoch_budget,E,K,F,mean_runtime_sec,mean_runtime_diff_sec_vs_dynamic,mean_runtime_ratio_vs_dynamic,num_runs
vehicles1->vehicles2,80,16,8,4,85.0915,6.982500000000002,1.0893945340527318,2
vehicles1->vehicles2,80,16,8,6,83.68299999999999,5.573999999999998,1.0713630437346846,2
vehicles1->vehicles2,80,16,8,8,80.929,2.8200000000000003,1.0361042319630158,2
vehicles1->vehicles2,80,32,4,1,101.7065,4.143499999999996,1.0423898198242023,2
vehicles1->vehicles2,80,32,4,2,101.476,3.9129999999999967,1.040135029587561,2
vehicles1->vehicles2,80,32,4,3,100.65899999999999,3.0959999999999965,1.0317373945089094,2
vehicles1->vehicles2,80,32,4,4,102.9465,5.383499999999998,1.0551966030595907,2
vehicles1->vehicles2,80,32,6,1,102.20349999999999,3.192999999999998,1.0322581272321778,2
vehicles1->vehicles2,80,32,6,2,103.14599999999999,4.135499999999993,1.0417703661773752,2
vehicles1->vehicles2,80,32,6,4,101.435,2.424500000000002,1.024464345584342,2
vehicles1->vehicles2,80,32,6,6,102.6285,3.617999999999995,1.0365601856957423,2
vehicles1->vehicles2,80,32,8,1,101.44,2.024000000000001,1.0203574534434123,2
vehicles1->vehicles2,80,32,8,2,100.092,0.6760000000000019,1.0068085216933442,2
vehicles1->vehicles2,80,32,8,4,103.299,3.8830000000000027,1.0390556024199218,2
vehicles1->vehicles2,80,32,8,6,102.2165,2.8005000000000067,1.0281653520044802,2
vehicles1->vehicles2,80,32,8,8,102.39349999999999,2.977499999999999,1.0299497517465697,2
vehicles1->vehicles2,100,8,4,1,87.324,1.2860000000000014,1.0149468839350055,1
vehicles1->vehicles2,100,8,4,2,86.7,0.6620000000000061,1.0076942746228412,1
vehicles1->vehicles2,100,8,4,3,85.856,-0.18200000000000216,0.9978846556172853,1
vehicles1->vehicles2,100,8,4,4,85.502,-0.5360000000000014,0.9937701945651921,1
vehicles1->vehicles2,100,16,4,1,100.41,1.6340000000000003,1.0165424799546448,1
vehicles1->vehicles2,100,16,4,2,100.886,2.1099999999999994,1.0213614643233173,1
vehicles1->vehicles2,100,16,4,3,100.0,1.2240000000000038,1.0123916740908723,1
vehicles1->vehicles2,100,16,4,4,97.65,-1.1259999999999906,0.9886004697497369,1
vehicles1->vehicles2,100,16,6,1,101.304,2.8689999999999998,1.0291461370447503,1
vehicles1->vehicles2,100,16,6,2,100.486,2.051000000000002,1.0208360847259612,1
vehicles1->vehicles2,100,16,6,4,102.387,3.951999999999998,1.0401483212272058,1
vehicles1->vehicles2,100,16,6,6,98.57,0.1349999999999909,1.001371463402245,1
vehicles1->vehicles2,100,16,8,1,100.809,1.9380000000000024,1.0196012986618928,1
vehicles1->vehicles2,100,16,8,2,102.849,3.9780000000000086,1.04023424462178,1
vehicles1->vehicles2,100,16,8,4,100.125,1.2540000000000049,1.012683193251813,1
vehicles1->vehicles2,100,16,8,6,101.401,2.530000000000001,1.0255888986659385,1
vehicles1->vehicles2,100,16,8,8,99.674,0.8030000000000115,1.0081216939244066,1
vehicles1->vehicles2,100,32,4,1,126.662,2.6300000000000097,1.0212042053663573,1
vehicles1->vehicles2,100,32,4,2,129.158,5.125999999999991,1.041328044375645,1
vehicles1->vehicles2,100,32,4,3,122.218,-1.813999999999993,0.985374742002064,1
vehicles1->vehicles2,100,32,4,4,124.687,0.6550000000000011,1.005280895252838,1
vehicles1->vehicles2,100,32,6,1,126.362,-0.34900000000000375,0.9972457008468089,1
vehicles1->vehicles2,100,32,6,2,128.194,1.4829999999999899,1.0117037984073995,1
vehicles1->vehicles2,100,32,6,4,126.366,-0.34499999999999886,0.9972772687454128,1
vehicles1->vehicles2,100,32,6,6,123.127,-3.584000000000003,0.9717151628508969,1
vehicles1->vehicles2,100,32,8,1,126.51,1.8830000000000098,1.0151090855111653,1
vehicles1->vehicles2,100,32,8,2,128.11,3.4830000000000183,1.02794739502676,1
vehicles1->vehicles2,100,32,8,4,126.33,1.703000000000003,1.013664775690661,1
vehicles1->vehicles2,100,32,8,6,124.209,-0.41799999999999216,0.996645991639051,1
vehicles1->vehicles2,100,32,8,8,124.067,-0.5600000000000023,0.9955065916695419,1
vehicles2->vehicles1,50,8,4,1,43.249,0.9840000000000018,1.023281675144919,1
vehicles2->vehicles1,50,8,4,2,43.937,1.671999999999997,1.0395599195551875,1
vehicles2->vehicles1,50,8,4,3,42.785,0.519999999999996,1.012303324263575,1
vehicles2->vehicles1,50,8,4,4,42.254,-0.011000000000002785,0.9997397373713474,1
vehicles2->vehicles1,50,16,4,1,50.055,2.6899999999999977,1.056792990604877,1
vehicles2->vehicles1,50,16,4,2,49.886,2.521000000000001,1.0532249551356487,1
vehicles2->vehicles1,50,16,4,3,49.362,1.9969999999999999,1.0421619339174495,1
vehicles2->vehicles1,50,16,4,4,49.873,2.5079999999999956,1.0529504908687848,1
vehicles2->vehicles1,50,16,6,1,49.034,0.06099999999999994,1.001245584301554,1
vehicles2->vehicles1,50,16,6,2,50.89,1.9170000000000016,1.0391440181324403,1
vehicles2->vehicles1,50,16,6,4,50.134,1.1610000000000014,1.0237069405590835,1
vehicles2->vehicles1,50,16,6,6,49.569,0.5960000000000036,1.0121699712086252,1
vehicles2->vehicles1,50,16,8,1,50.258,-0.03499999999999659,0.9993040781023205,1
vehicles2->vehicles1,50,16,8,2,50.418,0.125,1.0024854353488557,1
vehicles2->vehicles1,50,16,8,4,50.718,0.42500000000000426,1.0084504801861094,1
vehicles2->vehicles1,50,16,8,6,50.378,0.08500000000000085,1.001690096037222,1
vehicles2->vehicles1,50,16,8,8,50.511,0.21800000000000352,1.0043345992484045,1
vehicles2->vehicles1,50,32,4,1,63.486,1.9409999999999954,1.0315378990982207,1
vehicles2->vehicles1,50,32,4,2,63.498,1.9529999999999959,1.031732878381672,1
vehicles2->vehicles1,50,32,4,3,62.618,1.0730000000000004,1.0174343975952556,1
vehicles2->vehicles1,50,32,4,4,62.764,1.2190000000000012,1.019806645543911,1
vehicles2->vehicles1,50,32,6,1,62.698,1.4209999999999994,1.0231897775674397,1
