epoch,seed,run_id,mode,E,K,F,best_val_epoch,best_val_acc,best_test_acc,final_test_acc,final_test_macro_f1,final_test_loss,routing_entropy,fixed_experts
40,1,hyb_vehicles1_to_vehicles2_E32_K8_F4_ep40_s1,hybrid_transfer,32,8,4,27,0.808,0.804,0.798,0.7957,0.7693,2.8275,"23,10,16,7"
40,1,hyb_vehicles1_to_vehicles2_E32_K8_F6_ep40_s1,hybrid_transfer,32,8,6,28,0.796,0.798,0.806,0.8049,0.7411,2.8248,"23,10,16,7,5,4"
40,1,fix_vehicles1_to_vehicles2_E32_K8_F8_ep40_s1,hybrid_transfer,32,8,8,38,0.832,0.826,0.78,0.7747,0.7369,3.2445,"23,10,16,7,5,4,3,6"
50,1,dyn_vehicles1_to_vehicles2_E8_K4_ep50_s1,target_dynamic,8,4,0,49,0.808,0.822,0.806,0.8046,0.628,1.2661,
50,1,hyb_vehicles1_to_vehicles2_E8_K4_F1_ep50_s1,hybrid_transfer,8,4,1,47,0.824,0.828,0.82,0.821,0.6507,1.1628,5
50,1,hyb_vehicles1_to_vehicles2_E8_K4_F2_ep50_s1,hybrid_transfer,8,4,2,46,0.828,0.834,0.804,0.8043,0.6541,1.314,"5,4"
50,1,hyb_vehicles1_to_vehicles2_E8_K4_F3_ep50_s1,hybrid_transfer,8,4,3,42,0.808,0.784,0.81,0.8103,0.6924,1.1891,"5,4,6"
50,1,fix_vehicles1_to_vehicles2_E8_K4_F4_ep50_s1,hybrid_transfer,8,4,4,47,0.816,0.816,0.82,0.8194,0.6346,1.7027,"5,4,6,2"
50,1,dyn_vehicles1_to_vehicles2_E16_K4_ep50_s1,target_dynamic,16,4,0,34,0.824,0.78,0.77,0.7751,0.7527,1.9777,
50,1,hyb_vehicles1_to_vehicles2_E16_K4_F1_ep50_s1,hybrid_transfer,16,4,1,44,0.82,0.848,0.798,0.8002,0.6877,1.8894,14
50,1,hyb_vehicles1_to_vehicles2_E16_K4_F2_ep50_s1,hybrid_transfer,16,4,2,43,0.812,0.822,0.788,0.7907,0.7128,1.8309,"14,7"
50,1,hyb_vehicles1_to_vehicles2_E16_K4_F3_ep50_s1,hybrid_transfer,16,4,3,31,0.824,0.824,0.766,0.7697,0.8899,1.8184,"14,7,6"
50,1,fix_vehicles1_to_vehicles2_E16_K4_F4_ep50_s1,hybrid_transfer,16,4,4,46,0.824,0.828,0.782,0.7863,0.7481,2.5904,"14,7,6,10"
50,1,dyn_vehicles1_to_vehicles2_E16_K6_ep50_s1,target_dynamic,16,6,0,46,0.816,0.838,0.8,0.8041,0.7426,1.8979,
50,1,hyb_vehicles1_to_vehicles2_E16_K6_F1_ep50_s1,hybrid_transfer,16,6,1,46,0.828,0.838,0.77,0.7755,0.7701,1.9669,4
50,1,hyb_vehicles1_to_vehicles2_E16_K6_F2_ep50_s1,hybrid_transfer,16,6,2,46,0.82,0.812,0.81,0.8108,0.68,2.0051,"4,10"
50,1,hyb_vehicles1_to_vehicles2_E16_K6_F4_ep50_s1,hybrid_transfer,16,6,4,46,0.824,0.808,0.794,0.7963,0.6892,1.8038,"4,10,6,7"
50,1,fix_vehicles1_to_vehicles2_E16_K6_F6_ep50_s1,hybrid_transfer,16,6,6,22,0.808,0.792,0.79,0.7937,0.6802,2.4163,"4,10,6,7,2,15"
50,1,dyn_vehicles1_to_vehicles2_E16_K8_ep50_s1,target_dynamic,16,8,0,49,0.824,0.824,0.786,0.7887,0.7095,2.0953,
50,1,hyb_vehicles1_to_vehicles2_E16_K8_F1_ep50_s1,hybrid_transfer,16,8,1,49,0.824,0.84,0.802,0.8044,0.726,1.9592,2
50,1,hyb_vehicles1_to_vehicles2_E16_K8_F2_ep50_s1,hybrid_transfer,16,8,2,49,0.82,0.824,0.75,0.7503,0.881,1.9753,"2,6"
50,1,hyb_vehicles1_to_vehicles2_E16_K8_F4_ep50_s1,hybrid_transfer,16,8,4,46,0.82,0.83,0.808,0.8093,0.709,2.0224,"2,6,14,7"
50,1,hyb_vehicles1_to_vehicles2_E16_K8_F6_ep50_s1,hybrid_transfer,16,8,6,27,0.816,0.808,0.812,0.8145,0.6615,1.9767,"2,6,14,7,4,15"
50,1,fix_vehicles1_to_vehicles2_E16_K8_F8_ep50_s1,hybrid_transfer,16,8,8,46,0.808,0.836,0.778,0.7829,0.8146,2.293,"2,6,14,7,4,15,13,11"
50,1,dyn_vehicles1_to_vehicles2_E32_K4_ep50_s1,target_dynamic,32,4,0,45,0.816,0.814,0.804,0.8097,0.76,2.456,
50,1,hyb_vehicles1_to_vehicles2_E32_K4_F1_ep50_s1,hybrid_transfer,32,4,1,48,0.808,0.806,0.784,0.7873,0.8001,2.409,23
50,1,hyb_vehicles1_to_vehicles2_E32_K4_F2_ep50_s1,hybrid_transfer,32,4,2,47,0.828,0.78,0.794,0.7981,0.708,2.5829,"23,29"
50,1,hyb_vehicles1_to_vehicles2_E32_K4_F3_ep50_s1,hybrid_transfer,32,4,3,36,0.804,0.82,0.812,0.8122,0.6723,2.4608,"23,29,4"
50,1,fix_vehicles1_to_vehicles2_E32_K4_F4_ep50_s1,hybrid_transfer,32,4,4,44,0.836,0.81,0.792,0.7923,0.7161,3.2687,"23,29,4,14"
50,1,dyn_vehicles1_to_vehicles2_E32_K6_ep50_s1,target_dynamic,32,6,0,48,0.824,0.802,0.766,0.7695,0.8966,2.4763,
50,1,hyb_vehicles1_to_vehicles2_E32_K6_F1_ep50_s1,hybrid_transfer,32,6,1,50,0.82,0.81,0.81,0.8121,0.6835,2.5535,23
50,1,hyb_vehicles1_to_vehicles2_E32_K6_F2_ep50_s1,hybrid_transfer,32,6,2,29,0.812,0.822,0.802,0.8044,0.7462,2.4929,"23,14"
50,1,hyb_vehicles1_to_vehicles2_E32_K6_F4_ep50_s1,hybrid_transfer,32,6,4,50,0.808,0.812,0.812,0.8146,0.6907,2.665,"23,14,5,7"
50,1,fix_vehicles1_to_vehicles2_E32_K6_F6_ep50_s1,hybrid_transfer,32,6,6,49,0.82,0.826,0.838,0.8386,0.5878,3.1664,"23,14,5,7,3,18"
50,1,dyn_vehicles1_to_vehicles2_E32_K8_ep50_s1,target_dynamic,32,8,0,38,0.812,0.828,0.806,0.8079,0.6981,2.5715,
50,1,hyb_vehicles1_to_vehicles2_E32_K8_F1_ep50_s1,hybrid_transfer,32,8,1,48,0.812,0.818,0.76,0.7629,0.8008,2.6399,23
50,1,hyb_vehicles1_to_vehicles2_E32_K8_F2_ep50_s1,hybrid_transfer,32,8,2,38,0.828,0.824,0.8,0.8038,0.7816,2.57,"23,21"
50,1,hyb_vehicles1_to_vehicles2_E32_K8_F4_ep50_s1,hybrid_transfer,32,8,4,50,0.832,0.828,0.828,0.8288,0.6368,2.3808,"23,21,31,7"
50,1,hyb_vehicles1_to_vehicles2_E32_K8_F6_ep50_s1,hybrid_transfer,32,8,6,50,0.828,0.802,0.802,0.8034,0.6418,2.4921,"23,21,31,7,10,5"
50,1,fix_vehicles1_to_vehicles2_E32_K8_F8_ep50_s1,hybrid_transfer,32,8,8,38,0.836,0.82,0.812,0.814,0.6738,3.0828,"23,21,31,7,10,5,3,18"
60,1,dyn_vehicles1_to_vehicles2_E8_K4_ep60_s1,target_dynamic,8,4,0,58,0.824,0.834,0.774,0.7706,0.8041,1.25,
60,1,hyb_vehicles1_to_vehicles2_E8_K4_F1_ep60_s1,hybrid_transfer,8,4,1,47,0.828,0.836,0.742,0.7391,1.1386,1.1937,5
60,1,hyb_vehicles1_to_vehicles2_E8_K4_F2_ep60_s1,hybrid_transfer,8,4,2,58,0.832,0.808,0.784,0.7832,0.7896,1.2868,"5,4"
60,1,hyb_vehicles1_to_vehicles2_E8_K4_F3_ep60_s1,hybrid_transfer,8,4,3,56,0.82,0.804,0.74,0.7392,0.956,1.2806,"5,4,6"
60,1,fix_vehicles1_to_vehicles2_E8_K4_F4_ep60_s1,hybrid_transfer,8,4,4,44,0.816,0.852,0.732,0.727,0.9746,1.6076,"5,4,6,2"
60,1,dyn_vehicles1_to_vehicles2_E16_K4_ep60_s1,target_dynamic,16,4,0,56,0.824,0.8,0.814,0.8137,0.6582,1.9564,
60,1,hyb_vehicles1_to_vehicles2_E16_K4_F1_ep60_s1,hybrid_transfer,16,4,1,52,0.824,0.824,0.828,0.828,0.6408,1.8946,6
60,1,hyb_vehicles1_to_vehicles2_E16_K4_F2_ep60_s1,hybrid_transfer,16,4,2,46,0.824,0.826,0.776,0.7708,0.942,1.7251,"6,2"
60,1,hyb_vehicles1_to_vehicles2_E16_K4_F3_ep60_s1,hybrid_transfer,16,4,3,52,0.832,0.838,0.786,0.7756,0.9077,1.7761,"6,2,14"
60,1,fix_vehicles1_to_vehicles2_E16_K4_F4_ep60_s1,hybrid_transfer,16,4,4,52,0.84,0.786,0.798,0.795,0.7438,2.4717,"6,2,14,7"
60,1,dyn_vehicles1_to_vehicles2_E16_K6_ep60_s1,target_dynamic,16,6,0,52,0.836,0.824,0.816,0.8157,0.7052,1.8951,
60,1,hyb_vehicles1_to_vehicles2_E16_K6_F1_ep60_s1,hybrid_transfer,16,6,1,46,0.824,0.822,0.786,0.783,0.8947,1.9834,10
60,1,hyb_vehicles1_to_vehicles2_E16_K6_F2_ep60_s1,hybrid_transfer,16,6,2,46,0.832,0.834,0.806,0.8036,0.704,1.9868,"10,4"
