run_id,pair_id,source_task,target_task,epoch,seed,mode,E,K,F,best_val_epoch,best_test_acc_at_best_val_epoch,true_max_test_acc,epoch_of_true_max_test_acc,final_test_acc
fix_vehicles1_to_vehicles2_E16_K8_F8_ep50_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,50,1,hybrid_transfer,16,8,8,46,0.8359999990463257,0.8439999990463257,49,0.7780000042915344
dyn_vehicles1_to_vehicles2_E32_K4_ep50_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,50,1,target_dynamic,32,4,0,45,0.8139999947547912,0.8339999971389771,30,0.8040000042915344
hyb_vehicles1_to_vehicles2_E32_K4_F1_ep50_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,50,1,hybrid_transfer,32,4,1,48,0.8059999995231628,0.8299999923706055,47,0.7839999976158142
hyb_vehicles1_to_vehicles2_E32_K4_F2_ep50_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,50,1,hybrid_transfer,32,4,2,47,0.7799999952316284,0.8199999995231628,38,0.7940000042915344
hyb_vehicles1_to_vehicles2_E32_K4_F3_ep50_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,50,1,hybrid_transfer,32,4,3,36,0.8199999971389771,0.8259999947547912,38,0.8119999928474426
fix_vehicles1_to_vehicles2_E32_K4_F4_ep50_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,50,1,hybrid_transfer,32,4,4,44,0.8099999995231628,0.8399999990463257,48,0.7919999952316285
dyn_vehicles1_to_vehicles2_E32_K6_ep50_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,50,1,target_dynamic,32,6,0,48,0.8019999923706055,0.8199999995231628,38,0.7660000042915345
hyb_vehicles1_to_vehicles2_E32_K6_F1_ep50_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,50,1,hybrid_transfer,32,6,1,50,0.8099999971389771,0.8460000038146973,49,0.8099999971389771
hyb_vehicles1_to_vehicles2_E32_K6_F2_ep50_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,50,1,hybrid_transfer,32,6,2,29,0.8219999947547912,0.8360000038146973,38,0.8019999971389771
hyb_vehicles1_to_vehicles2_E32_K6_F4_ep50_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,50,1,hybrid_transfer,32,6,4,50,0.8120000042915344,0.8220000042915344,47,0.8120000042915344
fix_vehicles1_to_vehicles2_E32_K6_F6_ep50_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,50,1,hybrid_transfer,32,6,6,49,0.8259999947547912,0.8380000019073486,50,0.8380000019073486
dyn_vehicles1_to_vehicles2_E32_K8_ep50_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,50,1,target_dynamic,32,8,0,38,0.8279999923706055,0.8499999966621399,48,0.8060000042915344
hyb_vehicles1_to_vehicles2_E32_K8_F1_ep50_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,50,1,hybrid_transfer,32,8,1,48,0.8179999928474426,0.8339999966621399,45,0.7600000047683716
hyb_vehicles1_to_vehicles2_E32_K8_F2_ep50_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,50,1,hybrid_transfer,32,8,2,38,0.8239999923706055,0.8499999990463257,48,0.7999999947547912
hyb_vehicles1_to_vehicles2_E32_K8_F4_ep50_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,50,1,hybrid_transfer,32,8,4,50,0.8280000038146973,0.8379999947547913,38,0.8280000038146973
hyb_vehicles1_to_vehicles2_E32_K8_F6_ep50_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,50,1,hybrid_transfer,32,8,6,50,0.8019999976158142,0.8239999923706055,45,0.8019999976158142
fix_vehicles1_to_vehicles2_E32_K8_F8_ep50_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,50,1,hybrid_transfer,32,8,8,38,0.8199999976158142,0.8439999990463257,48,0.8120000042915344
dyn_vehicles1_to_vehicles2_E8_K4_ep60_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,60,1,target_dynamic,8,4,0,58,0.8339999923706055,0.8480000014305115,47,0.7740000019073486
hyb_vehicles1_to_vehicles2_E8_K4_F1_ep60_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,60,1,hybrid_transfer,8,4,1,47,0.8359999923706055,0.8400000014305115,54,0.7419999952316284
hyb_vehicles1_to_vehicles2_E8_K4_F2_ep60_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,60,1,hybrid_transfer,8,4,2,58,0.8079999947547912,0.8519999990463257,54,0.7840000042915344
hyb_vehicles1_to_vehicles2_E8_K4_F3_ep60_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,60,1,hybrid_transfer,8,4,3,56,0.8040000019073487,0.8399999947547913,58,0.7399999933242798
fix_vehicles1_to_vehicles2_E8_K4_F4_ep60_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,60,1,hybrid_transfer,8,4,4,44,0.8519999923706054,0.8519999923706054,44,0.7319999933242798
dyn_vehicles1_to_vehicles2_E16_K4_ep60_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,60,1,target_dynamic,16,4,0,56,0.7999999971389771,0.8500000038146973,57,0.8140000019073487
hyb_vehicles1_to_vehicles2_E16_K4_F1_ep60_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,60,1,hybrid_transfer,16,4,1,52,0.8239999923706055,0.8500000014305115,46,0.8280000014305114
hyb_vehicles1_to_vehicles2_E16_K4_F2_ep60_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,60,1,hybrid_transfer,16,4,2,46,0.8259999966621399,0.8339999947547913,58,0.7760000042915344
hyb_vehicles1_to_vehicles2_E16_K4_F3_ep60_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,60,1,hybrid_transfer,16,4,3,52,0.8380000038146973,0.8380000038146973,52,0.7859999928474426
fix_vehicles1_to_vehicles2_E16_K4_F4_ep60_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,60,1,hybrid_transfer,16,4,4,52,0.7859999976158142,0.8580000057220459,57,0.7980000019073487
dyn_vehicles1_to_vehicles2_E16_K6_ep60_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,60,1,target_dynamic,16,6,0,52,0.8239999971389771,0.8479999990463257,46,0.8159999995231628
hyb_vehicles1_to_vehicles2_E16_K6_F1_ep60_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,60,1,hybrid_transfer,16,6,1,46,0.8220000038146973,0.8340000014305115,57,0.7859999952316284
hyb_vehicles1_to_vehicles2_E16_K6_F2_ep60_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,60,1,hybrid_transfer,16,6,2,46,0.8339999942779541,0.8459999923706054,57,0.8059999928474426
hyb_vehicles1_to_vehicles2_E16_K6_F4_ep60_s1,vehicles1_to_vehicles2,vehicles1,vehicles2,60,1,hybrid_transfer,16,6,4,60,0.8219999923706055,0.8420000038146973,58,0.8219999923706055
